project_id,plotid,year,day,landuse,landcover,change_process
28,342,2007,199,Forest,Treed,Regrowth
28,342,2018,197,Forest,Treed,Stable
28,343,1984,222,Other,Non-treed,
28,343,2018,195,Other,Non-treed,Stable
28,344,1984,197,Forest,Treed,
28,344,2018,202,Forest,Treed,Stable
28,345,1984,215,Forest,Treed,
28,345,2018,211,Forest,Treed,Stable
28,346,1984,199,Forest,Treed,
28,346,2018,196,Forest,Treed,Stable
28,347,1984,199,Forest,Treed,
28,347,2018,203,Forest,Treed,Stable
28,348,1984,197,Forest,Treed,
28,348,1997,209,Forest,Treed,Stable
28,348,1998,203,Forest,Non-treed,Unknown canopy disturbance
28,348,2005,199,Forest,Treed,Regrowth
28,348,2018,194,Forest,Treed,Stable
28,349,1984,215,Forest,Non-treed,
28,349,1993,198,Forest,Treed,Regrowth
28,349,2018,203,Forest,Treed,Stable
28,350,1984,222,Other,Non-treed,
28,350,2018,196,Other,Non-treed,Stable
28,351,1984,215,Forest,Non-treed,
28,351,2001,197,Forest,Treed,Stable
28,351,2008,192,Forest,Treed,Regrowth
28,351,2018,203,Forest,Treed,Stable
28,365,1984,222,Forest,Non-treed,
28,365,1999,199,Forest,Treed,Stable
28,365,2005,199,Forest,Treed,Regrowth
28,365,2018,195,Forest,Treed,Stable
28,366,1984,222,Forest,Treed,
28,366,2018,203,Forest,Treed,Stable
28,367,1984,199,Other,Non-treed,
28,367,2018,196,Other,Non-treed,Stable
28,368,1984,215,Forest,Treed,
28,368,2016,199,Forest,Treed,Stable
28,368,2017,201,Forest,Non-treed,Unknown canopy disturbance
28,368,2018,196,Forest,Non-treed,Regrowth
28,369,1984,197,Forest,Non-treed,
28,369,2013,204,Forest,Treed,Stable
28,369,2018,202,Forest,Treed,Regrowth
28,370,1984,215,Forest,Non-treed,
28,370,1997,202,Forest,Treed,Stable
28,370,2005,199,Forest,Treed,Regrowth
28,370,2018,203,Forest,Treed,Stable
28,371,1984,222,Forest,Non-treed,
28,371,1997,193,Forest,Treed,Regrowth
28,371,2018,203,Forest,Treed,Stable
28,372,1984,222,Other,Non-treed,
28,372,2018,219,Other,Non-treed,Stable
28,373,1984,183,Forest,Non-treed,
28,373,2000,203,Forest,Treed,Stable
28,373,2006,202,Forest,Treed,Regrowth
28,373,2018,196,Forest,Treed,Stable
28,374,1984,199,Forest,Treed,
28,374,2018,197,Forest,Treed,Stable
28,375,1984,197,Forest,Non-treed,
28,375,1997,200,Forest,Treed,Stable
28,375,2003,209,Forest,Treed,Regrowth
28,375,2018,203,Forest,Treed,Stable
28,376,1984,199,Forest,Treed,
28,376,2018,203,Forest,Treed,Stable
28,377,1984,222,Other,Non-treed,
28,377,2018,203,Other,Non-treed,Stable
28,378,1984,222,Other,Non-treed,
28,378,2018,195,Other,Non-treed,Stable
28,379,1984,222,Other,Non-treed,
28,379,2018,203,Other,Non-treed,Stable
28,380,1984,199,Forest,Non-treed,
28,380,1995,197,Forest,Treed,Regrowth
28,380,2018,197,Forest,Treed,Stable
28,381,1984,197,Forest,Non-treed,
28,381,2000,193,Forest,Treed,Stable
28,381,2006,201,Forest,Treed,Regrowth
28,381,2018,203,Forest,Treed,Stable
28,382,1984,215,Forest,Treed,
28,382,1986,188,Forest,Treed,Stable
28,382,1987,198,Forest,Treed,Unknown canopy disturbance
