project_id,plotid,year,day,landuse,landcover,change_process
11,61,2004,261,Forest,Non-treed,Harvest
11,61,2012,188,Forest,Treed,Regrowth
11,61,2018,196,Forest,Treed,Stable
11,70,1984,220,Forest,Treed,
11,70,2018,200,Forest,Treed,Stable
11,71,1984,170,Forest,Treed,
11,71,2018,199,Forest,Treed,Stable
11,72,1984,225,Forest,Treed,
11,72,1996,203,Forest,Treed,Stable
11,72,1997,196,Forest,Treed,Unknown canopy disturbance
11,72,2005,202,Forest,Treed,Stable
11,72,2006,198,Forest,Non-treed,Unknown canopy disturbance
11,72,2012,230,Forest,Treed,Regrowth
11,72,2018,199,Forest,Treed,Stable
11,74,1984,193,Forest,Treed,
11,74,2012,175,Forest,Treed,Stable
11,74,2013,201,Other,Non-treed,Harvest
11,74,2018,199,Other,Non-treed,Stable
11,75,1984,161,Forest,Treed,
11,75,2018,199,Forest,Treed,Stable
11,76,1984,152,Forest,Treed,
11,76,2018,197,Forest,Treed,Stable
11,77,1984,175,Forest,Treed,
11,77,2018,202,Forest,Treed,Stable
11,78,1984,154,Forest,Treed,
11,78,2018,199,Forest,Treed,Stable
11,79,1984,215,Forest,Treed,
11,79,1995,197,Forest,Treed,Stable
11,79,1996,207,Forest,Non-treed,Unknown canopy disturbance
11,79,2004,189,Forest,Treed,Regrowth
11,79,2018,196,Forest,Treed,Stable
11,81,1984,161,Forest,Treed,
11,81,2016,201,Forest,Treed,Stable
11,81,2017,243,Forest,Non-treed,Harvest
11,81,2018,198,Forest,Non-treed,Regrowth
11,84,1984,188,Forest,Treed,
11,84,2018,201,Forest,Treed,Stable
11,83,1984,261,Other,Non-treed,
11,83,2018,204,Other,Non-treed,Stable
11,85,1984,199,Forest,Treed,
11,85,2007,221,Forest,Treed,Stable
11,85,2008,184,Forest,Non-treed,Unknown canopy disturbance
11,85,2013,206,Forest,Treed,Regrowth
11,85,2018,203,Forest,Treed,Stable
11,86,1984,191,Forest,Treed,
11,86,2018,198,Forest,Treed,Stable
11,87,1984,154,Forest,Treed,
11,87,2015,198,Forest,Treed,Stable
11,87,2016,208,Forest,Non-treed,Unknown canopy disturbance
11,87,2018,199,Forest,Non-treed,Regrowth
11,88,1984,193,Forest,Treed,
11,88,2006,198,Forest,Treed,Stable
11,88,2007,185,Forest,Non-treed,Harvest
11,88,2013,209,Forest,Treed,Regrowth
11,88,2018,199,Forest,Treed,Stable
11,89,1984,193,Forest,Treed,
11,89,2018,200,Forest,Treed,Stable
11,90,1984,154,Forest,Treed,
11,90,2011,203,Forest,Treed,Stable
11,90,2012,198,Forest,Non-treed,Harvest
11,90,2018,199,Forest,Non-treed,Regrowth
11,91,1984,110,Forest,Treed,
11,91,2017,207,Forest,Treed,Stable
11,91,2018,194,Forest,Non-treed,Harvest
11,93,1984,220,Forest,Treed,
11,93,2009,199,Forest,Treed,Stable
11,93,2010,194,Forest,Treed,Unknown canopy disturbance
11,93,2018,200,Forest,Treed,Stable
11,94,1984,168,Forest,Treed,
11,94,2017,226,Forest,Treed,Stable
11,94,2018,198,Forest,Treed,Unknown canopy disturbance
11,95,1984,216,Forest,Treed,
11,95,1995,200,Forest,Treed,Stable
11,95,1996,217,Forest,Non-treed,Unknown canopy disturbance
11,95,2006,196,Forest,Treed,Regrowth
11,95,2018,197,Forest,Treed,Stable
11,96,1984,225,Forest,Treed,
