project_id,year,day,landuse,landcover,change_process,plotid
8,2017,219,Forest,Trees,Stable,90
8,1984,234,Forest,Trees,NA,91
8,2017,212,Forest,Trees,Stable,91
8,1984,193,Forest,Trees,NA,92
8,2017,212,Forest,Trees,Stable,92
8,1984,259,Forest,Trees,NA,93
8,2017,213,Forest,Trees,Stable,93
8,1984,232,Forest,Trees,NA,94
8,2011,242,Forest,Trees,Stable,94
8,2012,205,Forest,Trees,Harvest,94
8,2017,217,Forest,Trees,Growth/Recovery,94
8,1984,259,Forest,Trees,NA,95
8,2017,213,Forest,Trees,Stable,95
8,1984,193,Forest,Trees,NA,96
8,2017,219,Forest,Trees,Stable,96
8,1984,193,Forest,Trees,NA,97
8,2017,218,Forest,Trees,Stable,97
8,1984,234,Forest,Trees,NA,98
8,2017,212,Forest,Trees,Stable,98
8,1984,172,Forest,Trees,NA,99
8,2017,214,Forest,Trees,Stable,99
8,1984,243,Forest,Trees,NA,100
8,2017,212,Forest,Trees,Stable,100
8,1984,193,Forest,Trees,NA,101
8,1995,223,Forest,Trees,Stable,101
8,1996,201,Forest,Non-tree,Harvest,101
8,2007,216,Forest,Trees,Growth/Recovery,101
8,2017,210,Forest,Trees,Stable,101
8,1984,234,Forest,Trees,NA,102
8,2017,211,Forest,Trees,Stable,102
8,1984,193,Forest,Trees,NA,103
8,2002,202,Forest,Trees,Stable,103
8,2003,213,Forest,Trees,Harvest,103
8,2017,211,Forest,Trees,Growth/Recovery,103
8,1984,232,Forest,Trees,NA,104
8,2011,249,Forest,Trees,Stable,104
8,2012,228,Forest,Non-tree,Harvest,104
8,2017,218,Other,Non-tree,Stable,104
8,1984,232,Forest,Trees,NA,105
8,2017,211,Forest,Trees,Stable,105
8,1984,193,Forest,Trees,NA,106
8,1987,233,Forest,Trees,Stable,106
8,1988,220,Forest,Non-tree,Harvest,106
8,2002,202,Forest,Trees,Growth/Recovery,106
8,2017,219,Forest,Trees,Stable,106
8,1984,218,Forest,Trees,NA,107
8,2017,212,Forest,Trees,Stable,107
8,1984,234,Forest,Trees,NA,108
8,2017,212,Forest,Trees,Stable,108
8,1984,193,Forest,Trees,NA,109
8,2017,218,Forest,Trees,Stable,109
8,1984,259,Forest,Trees,NA,110
8,2011,228,Forest,Trees,Stable,110
8,2012,184,Forest,Non-tree,Harvest,110
8,2017,213,Forest,Trees,Growth/Recovery,110
8,1984,193,Forest,Trees,NA,111
8,2017,227,Forest,Trees,Stable,111
8,1984,193,Forest,Non-tree,NA,112
8,1995,214,Forest,Trees,Growth/Recovery,112
8,2017,211,Forest,Trees,Stable,112
8,1984,218,Other,Non-tree,NA,113
8,1996,226,Forest,Trees,Growth/Recovery,113
8,2017,212,Forest,Trees,Stable,113
8,1984,232,Forest,Trees,NA,114
8,2013,215,Forest,Trees,Stable,114
8,2014,201,Forest,Trees,Harvest,114
8,2017,217,Forest,Trees,Growth/Recovery,114
8,1984,234,Forest,Trees,NA,115
8,2017,212,Forest,Trees,Stable,115
8,1984,193,Forest,Trees,NA,116
8,2017,211,Forest,Trees,Stable,116
8,1984,234,Forest,Trees,NA,117
8,2017,219,Forest,Trees,Stable,117
8,1984,232,Forest,Trees,NA,118
8,2017,218,Forest,Trees,Stable,118
8,1984,234,Forest,Trees,NA,119
8,2017,211,Forest,Trees,Stable,119
8,1984,259,Forest,Trees,NA,120
8,2017,213,Forest,Trees,Stable,120
8,1984,259,Forest,Trees,NA,121
8,2017,213,Forest,Trees,Stable,121
8,1984,193,Forest,Trees,NA,122
8,2009,213,Forest,Trees,Stable,122
8,2010,232,Forest,Non-tree,Harvest,122
8,2017,219,Forest,Trees,Growth/Recovery,122
8,1984,234,Forest,Trees,NA,123
8,1985,195,Forest,Non-tree,Harvest,123
8,1996,210,Forest,Trees,Growth/Recovery,123
8,2017,212,Forest,Trees,Stable,123
8,1984,232,Forest,Trees,NA,124
8,2017,219,Forest,Trees,Stable,124
8,1984,218,Forest,Trees,NA,125
8,2017,212,Forest,Trees,Stable,125
8,1984,234,Forest,Non-tree,NA,126
8,1994,213,Forest,Trees,Growth/Recovery,126
8,2014,221,Forest,Trees,Stable,126
8,2015,216,Forest,Trees,Harvest,126
8,2017,213,Forest,Trees,Growth/Recovery,126
8,1984,232,Forest,Trees,NA,127
8,2017,211,Forest,Trees,Stable,127
8,1984,232,Forest,Trees,NA,128
8,2017,217,Forest,Trees,Stable,128
8,1984,234,Forest,Trees,NA,129
8,2017,213,Forest,Trees,Stable,129
8,1984,218,Forest,Trees,NA,130
8,1997,212,Forest,Trees,Stable,130
8,1998,128,Forest,Non-tree,Harvest,130
8,2017,212,Forest,Trees,Growth/Recovery,130
8,1984,193,Forest,Trees,NA,131
8,2017,211,Forest,Trees,Stable,131
8,1984,234,Forest,Trees,NA,132
8,2003,213,Forest,Trees,Stable,132
8,2017,212,Forest,Trees,Growth/Recovery,132
8,1984,234,Forest,Trees,NA,133
8,2017,212,Forest,Trees,Stable,133
8,1984,232,Forest,Trees,NA,134
8,2017,210,Forest,Trees,Stable,134
8,1984,193,Forest,Trees,NA,135
8,2017,211,Forest,Trees,Stable,135
8,1984,259,Forest,Trees,NA,136
8,2017,213,Forest,Trees,Stable,136
8,1984,193,Forest,Trees,NA,137
8,1985,243,Forest,Trees,Stable,137
8,1986,214,Forest,Non-tree,Harvest,137
8,2002,209,Forest,Trees,Growth/Recovery,137
8,2017,211,Forest,Trees,Stable,137
8,1984,218,Forest,Trees,NA,138
8,2017,212,Forest,Trees,Stable,138
8,1984,234,Forest,Trees,NA,139
8,2008,211,Forest,Trees,Stable,139
8,2009,214,Forest,Non-tree,Harvest,139
8,2017,212,Forest,Trees,Growth/Recovery,139
8,1984,175,Forest,Trees,NA,140
8,2017,217,Forest,Trees,Stable,140
8,1984,248,Forest,Non-tree,NA,141
8,1994,218,Forest,Trees,Growth/Recovery,141
8,2017,217,Forest,Trees,Stable,141
