project_id,year,day,landuse,landcover,change_process,plotid
13,2009,219,Forest,Trees,Stable,140
13,2010,190,Forest,Trees,Harvest,140
13,2017,57,Forest,Trees,Stable,140
13,1984,317,Forest,Trees,NA,141
13,2006,217,Forest,Trees,Stable,141
13,2007,197,Forest,Trees,Harvest,141
13,2017,71,Forest,Trees,Stable,141
13,1984,127,Forest,Trees,NA,142
13,2017,41,Forest,Trees,Stable,142
13,1984,171,Forest,Trees,NA,143
13,2017,69,Forest,Trees,Stable,143
13,1984,116,Forest,Trees,NA,144
13,2017,71,Forest,Trees,Stable,144
13,1984,173,Forest,Trees,NA,145
13,1998,220,Forest,Trees,Stable,145
13,1999,215,Forest,Trees,Harvest,145
13,2017,23,Forest,Trees,Growth/Recovery,145
13,1984,116,Forest,Trees,NA,146
13,2017,70,Forest,Trees,Stable,146
13,1984,319,Forest,Trees,NA,147
13,2017,56,Forest,Trees,Stable,147
13,1984,317,Forest,Trees,NA,148
13,1995,212,Forest,Trees,Stable,148
13,1996,222,Forest,Trees,Harvest,148
13,2017,71,Forest,Trees,Growth/Recovery,148
13,1984,164,Forest,Trees,NA,149
13,2017,71,Forest,Trees,Stable,149
13,1984,239,Forest,Trees,NA,150
13,2017,64,Forest,Trees,Stable,150
13,1985,209,Forest,Trees,NA,151
13,2017,56,Forest,Trees,Stable,151
13,1984,120,Forest,Trees,NA,152
13,2017,42,Forest,Trees,Stable,152
13,1984,191,Forest,Trees,NA,153
13,2017,58,Forest,Trees,Stable,153
13,1985,223,Forest,Trees,NA,154
13,2017,16,Forest,Trees,Stable,154
13,1984,164,Forest,Trees,NA,155
13,1992,218,Forest,Trees,Growth/Recovery,155
13,2017,70,Forest,Trees,Stable,155
13,1984,317,Forest,Trees,NA,156
13,2007,196,Forest,Trees,Stable,156
13,2008,207,Forest,Trees,Harvest,156
13,2017,71,Forest,Trees,Growth/Recovery,156
13,1984,116,Forest,Trees,NA,157
13,2017,46,Forest,Trees,Stable,157
13,1984,319,Forest,Trees,NA,158
13,1988,241,Forest,Trees,Stable,158
13,1989,188,Forest,Trees,Harvest,158
13,2017,48,Forest,Trees,Stable,158
13,1985,221,Forest,Trees,NA,159
13,2017,46,Forest,Trees,Stable,159
13,1984,317,Forest,Trees,NA,160
13,2017,71,Forest,Trees,Stable,160
13,1984,228,Forest,Trees,NA,161
13,1991,183,Forest,Trees,Stable,161
13,1992,170,Other,Non-tree,Harvest,161
13,2017,70,Other,Non-tree,Stable,161
13,1984,116,Forest,Trees,NA,162
13,2017,71,Forest,Trees,Stable,162
13,1984,317,Forest,Trees,NA,163
13,2017,71,Forest,Trees,Stable,163
13,1985,207,Forest,Trees,NA,164
13,2017,16,Forest,Trees,Stable,164
13,1984,317,Forest,Trees,NA,165
13,2017,71,Forest,Trees,Stable,165
13,1984,228,Forest,Trees,NA,166
13,2017,70,Forest,Trees,Stable,166
13,1984,317,Forest,Trees,NA,167
13,2017,71,Forest,Trees,Stable,167
13,1984,262,Forest,Trees,NA,168
13,2017,73,Forest,Trees,Stable,168
13,1984,232,Forest,Trees,NA,169
13,2017,2,Forest,Trees,Stable,169
13,1984,317,Forest,Trees,NA,170
13,2017,71,Forest,Trees,Stable,170
13,1985,223,Forest,Trees,NA,171
13,2017,71,Forest,Trees,Stable,171
13,1984,239,Forest,Trees,NA,172
13,2017,17,Forest,Trees,Stable,172
13,1984,262,Forest,Trees,NA,173
13,2017,56,Forest,Trees,Stable,173
13,1984,136,Forest,Trees,NA,174
13,2017,42,Forest,Trees,Stable,174
13,1984,239,Forest,Trees,NA,175
13,1985,241,Forest,Non-tree,Harvest,175
13,1992,213,Forest,Trees,Growth/Recovery,175
13,2017,73,Forest,Trees,Stable,175
13,1985,209,Forest,Trees,NA,176
13,1999,216,Forest,Trees,Stable,176
13,2000,226,Forest,Non-tree,Harvest,176
13,2017,64,Forest,Trees,Growth/Recovery,176
13,1984,191,Forest,Trees,NA,177
13,2017,33,Forest,Trees,Stable,177
13,1984,173,Forest,Trees,NA,178
13,2017,64,Forest,Trees,Stable,178
13,1984,308,Forest,Trees,NA,179
13,2017,70,Forest,Trees,Stable,179
13,1984,116,Forest,Trees,NA,180
13,2017,62,Forest,Trees,Stable,180
13,1984,127,Forest,Trees,NA,181
13,2017,73,Forest,Trees,Stable,181
13,1985,184,Forest,Trees,NA,182
13,2017,56,Forest,Trees,Stable,182
13,1984,239,Forest,Trees,NA,183
13,2017,73,Forest,Trees,Stable,183
13,1985,209,Forest,Trees,NA,184
13,2012,228,Forest,Trees,Stable,184
13,2013,222,Forest,Trees,Harvest,184
13,2017,17,Forest,Trees,Stable,184
13,1984,319,Forest,Trees,NA,185
13,1995,212,Forest,Trees,Growth/Recovery,185
13,2017,73,Forest,Trees,Stable,185
13,1984,228,Forest,Trees,NA,186
13,2017,71,Forest,Trees,Stable,186
13,1984,173,Forest,Trees,NA,187
13,2017,70,Forest,Trees,Stable,187
13,1985,193,Forest,Trees,NA,188
13,2017,56,Forest,Trees,Stable,188
13,1984,191,Forest,Trees,NA,189
13,2017,41,Forest,Trees,Stable,189
13,1984,116,Forest,Trees,NA,190
13,2017,71,Forest,Trees,Stable,190
13,1985,200,Forest,Trees,NA,191
13,2017,33,Forest,Trees,Stable,191
13,1984,127,Forest,Trees,NA,192
13,2017,73,Forest,Trees,Stable,192
13,1984,116,Forest,Trees,NA,193
13,2017,71,Forest,Trees,Stable,193
13,1984,317,Forest,Trees,NA,194
13,2017,71,Forest,Trees,Stable,194
13,1984,191,Forest,Trees,NA,195
13,2017,65,Forest,Trees,Stable,195
13,1984,127,Forest,Trees,NA,196
13,2017,56,Forest,Trees,Stable,196
13,1984,173,Forest,Trees,NA,197
13,2017,71,Forest,Trees,Stable,197
13,1984,191,Forest,Trees,NA,198
13,2017,58,Forest,Trees,Stable,198
13,1984,173,Forest,Trees,NA,199
13,1996,215,Forest,Trees,Growth/Recovery,199
13,2017,16,Forest,Trees,Stable,199
13,1984,228,Forest,Trees,NA,200
13,2017,70,Forest,Trees,Stable,200
13,1984,239,Forest,Trees,NA,201
13,2005,209,Forest,Trees,Stable,201
13,2006,196,Forest,Trees,Harvest,201
13,2017,26,Forest,Trees,Growth/Recovery,201
13,1985,193,Forest,Trees,NA,202
13,1994,202,Forest,Trees,Growth/Recovery,202
13,2017,33,Forest,Trees,Stable,202
13,1985,216,Forest,Trees,NA,203
13,2017,47,Forest,Trees,Stable,203
13,1985,209,Forest,Trees,NA,204
13,2017,17,Forest,Trees,Stable,204
13,1984,136,Forest,Trees,NA,205
13,2011,234,Forest,Trees,Stable,205
13,2012,205,Forest,Trees,Harvest,205
13,2017,58,Forest,Trees,Stable,205
13,1984,278,Forest,Trees,NA,206
13,2003,218,Forest,Trees,Stable,206
13,2004,212,Forest,Trees,Harvest,206
13,2016,238,Forest,Trees,Growth/Recovery,206
13,1984,164,Forest,Trees,NA,207
13,2017,71,Forest,Trees,Stable,207
13,1985,216,Forest,Trees,NA,208
13,2005,208,Forest,Trees,Stable,208
13,2007,213,Forest,Trees,Harvest,208
13,2017,64,Forest,Trees,Growth/Recovery,208
13,1984,278,Forest,Trees,NA,209
13,2017,16,Forest,Trees,Stable,209
13,1984,319,Forest,Trees,NA,210
13,2016,214,Forest,Trees,Stable,210
13,1984,280,Forest,Trees,NA,211
13,1987,224,Forest,Non-tree,Stable,211
13,1988,227,Forest,Trees,Harvest,211
13,1996,224,Forest,Trees,Growth/Recovery,211
13,2017,41,Forest,Trees,Stable,211
13,1984,228,Forest,Trees,NA,212
13,2016,220,Forest,Trees,Stable,212
13,1984,301,Forest,Trees,NA,213
13,2017,71,Forest,Trees,Stable,213
13,1985,232,Forest,Trees,NA,214
13,2017,56,Forest,Trees,Stable,214
13,1984,191,Forest,Trees,NA,215
13,2012,235,Forest,Trees,Stable,215
13,2013,214,Forest,Trees,Harvest,215
13,2017,33,Forest,Trees,Growth/Recovery,215
13,1984,317,Forest,Trees,NA,216
13,2016,229,Forest,Trees,Stable,216
13,1985,209,Forest,Trees,NA,217
13,2000,211,Forest,Trees,Stable,217
13,2001,212,Forest,Trees,Harvest,217
13,2017,56,Forest,Trees,Growth/Recovery,217
13,1984,239,Forest,Trees,NA,218
13,2017,64,Forest,Trees,Stable,218
13,1984,317,Forest,Trees,NA,219
13,2017,71,Forest,Trees,Stable,219
13,1984,241,Forest,Trees,NA,220
13,2017,75,Forest,Trees,Stable,220
13,1985,221,Forest,Trees,NA,221
13,2017,69,Forest,Trees,Stable,221
13,1984,317,Forest,Trees,NA,222
13,2017,71,Forest,Trees,Stable,222
13,1984,317,Forest,Trees,NA,223
13,2017,71,Forest,Trees,Stable,223
13,1984,173,Forest,Trees,NA,224
13,2017,71,Forest,Trees,Stable,224
13,1984,228,Forest,Trees,NA,225
13,2017,46,Forest,Trees,Stable,225
13,1984,116,Forest,Trees,NA,226
13,1992,218,Forest,Trees,Stable,226
13,1993,181,Forest,Trees,Harvest,226
13,2017,55,Forest,Trees,Growth/Recovery,226
13,1985,209,Forest,Trees,NA,227
13,2017,73,Forest,Trees,Stable,227
13,1985,205,Forest,Trees,NA,228
13,2017,46,Forest,Trees,Stable,228
13,1984,116,Forest,Trees,NA,229
13,2014,207,Forest,Trees,Growth/Recovery,229
13,2015,233,Forest,Trees,Harvest,229
13,2016,220,Forest,Trees,Growth/Recovery,229
13,1984,317,Forest,Trees,NA,230
13,2017,71,Forest,Trees,Stable,230
13,1985,209,Forest,Trees,NA,231
13,2017,56,Forest,Trees,Stable,231
13,1984,127,Forest,Trees,NA,232
13,2017,73,Forest,Trees,Stable,232
13,1984,241,Forest,Trees,NA,233
13,2017,58,Forest,Trees,Stable,233
13,1984,317,Forest,Trees,NA,234
13,2017,71,Forest,Trees,Stable,234
13,1984,173,Forest,Trees,NA,235
13,2017,71,Forest,Trees,Stable,235
13,1984,317,Forest,Trees,NA,236
13,2017,71,Forest,Trees,Stable,236
13,1984,228,Forest,Trees,NA,237
13,1985,239,Forest,Trees,Harvest,237
13,1994,207,Forest,Trees,Growth/Recovery,237
13,2016,220,Forest,Trees,Stable,237
13,1984,228,Forest,Trees,NA,238
13,2017,46,Forest,Trees,Stable,238
13,1984,120,Forest,Trees,NA,239
13,2010,255,Forest,Trees,Stable,239
13,2011,226,Forest,Trees,Harvest,239
13,2017,42,Forest,Trees,Growth/Recovery,239
13,1984,116,Forest,Trees,NA,240
13,2017,71,Forest,Trees,Stable,240
13,1984,317,Forest,Trees,NA,241
13,2017,71,Forest,Trees,Stable,241
13,1984,173,Forest,Trees,NA,242
13,2010,219,Forest,Trees,Stable,242
13,2011,230,Forest,Trees,Harvest,242
13,2017,71,Forest,Trees,Growth/Recovery,242
13,1985,209,Forest,Trees,NA,243
13,2012,251,Forest,Trees,Stable,243
13,2014,200,Forest,Trees,Harvest,243
13,2017,73,Forest,Trees,Growth/Recovery,243
13,1984,317,Forest,Trees,NA,244
13,2017,47,Forest,Trees,Stable,244
