project_id,plotid,plotid_old,x,y
13,176,559,4324624.85400871,2755627.86836462
13,177,561,4498017.16623066,3387575.78394721
13,178,562,4327563.47686086,3231088.36314894
13,179,563,4230825.67999223,3187245.58449038
13,180,564,4160456.08391683,3290466.94061014
13,181,567,4347731.09581342,2712382.79493516
13,182,570,4338530.96643415,2864194.18194246
13,183,572,4454799.81979093,3244596.34386889
13,184,575,4446269.28629569,2932199.38765494
13,185,577,4402332.55312403,3031321.2712905
13,186,582,4162505.7358603,2899527.27217322
13,187,583,4229145.88861236,3150049.45617448
13,188,585,4387013.5742497,3027983.44969845
13,189,588,4555557.13461378,3338059.67661807
13,190,590,4222655.64081279,3118742.49310559
13,191,591,4311372.41955655,2757209.49075775
13,192,592,4423115.12042472,2758772.48003769
13,193,600,4289667.36328659,3292688.87093206
13,194,602,4254317.84837523,2784844.47943332
13,195,605,4563090.78467952,3371042.72093763
13,196,607,4362198.09794144,2793541.13612504
13,197,611,4320103.96114904,3170924.84635011
13,198,626,4583528.79421541,3306057.7602114
13,199,632,4347638.91589105,3171928.53481601
13,200,634,4064944.32831083,3044701.86437334
13,201,635,4561135.89521779,3176410.43035145
13,202,662,4569723.56489798,3431761.91851526
13,203,663,4461246.44939181,3394694.32043088
13,204,664,4416540.32980496,2877682.70952475
13,205,666,4476749.04494754,2903219.61876752
13,206,668,4397423.17746539,3143310.41202851
13,207,672,4136421.59994923,2926091.00119354
13,208,673,4322396.25015022,2762075.78374391
13,209,675,4411043.7885331,3162959.44714829
13,210,676,4427848.23499959,3034374.99418957
13,211,699,4625141.98676888,3241014.94443616
13,212,700,4064543.74072861,3046117.83121683
13,213,702,4240503.33890289,2935869.40545922
13,214,703,4336400.8059129,2893955.25187004
13,215,705,4469177.50739352,3322594.51677116
13,216,706,4235924.30525574,2837988.31699535
13,217,714,4358275.9789116,2812909.05940882
13,218,715,4518705.77097328,3244996.4537755
13,219,717,4164934.11208813,2738321.76123095
13,220,720,4564449.92025918,2815061.01308727
13,221,724,4058675.32044911,3075396.92452071
13,222,725,4306505.14819963,2991216.08761341
13,223,726,4171804.09373695,2767052.28145288
13,224,727,4291602.956198,3152045.87715051
13,225,728,4129668.59568328,3012191.50676172
13,226,730,4326449.07525912,3349620.43531379
13,227,732,4345596.87256694,2846701.43275898
13,228,733,4151677.7920878,3332873.14251295
13,229,735,4248351.15183374,3110166.39924297
13,230,736,4239973.70571131,2985814.61611134
