project_id,plotid,plotid_old,x,y
8,120,345,4906143.87961429,2952209.13763078
8,121,346,4880200.7796919,2890722.04414831
8,122,350,4618044.49729047,2949945.52694857
8,123,351,4756436.18518945,2979995.68645587
8,124,354,4605344.96429511,2906854.17989001
8,125,356,4777194.22951496,2957015.04839284
8,126,358,4863333.5533941,2972692.51846881
8,127,361,4611803.5411825,3080386.24254586
8,128,374,4519657.69333954,2925370.55837572
8,129,376,4822732.86119873,2985181.08988822
8,130,382,4765311.163791,2932940.32916521
8,131,384,4607529.50279556,2997692.94004762
8,132,385,4721627.1222307,2980290.50510438
8,133,388,4801317.59968019,2999205.97913587
8,134,389,4615431.70222824,2868738.01410929
8,135,391,4682758.12974869,3080634.70532805
8,136,392,4882804.73755632,2919094.04577692
8,137,393,4680529.71471972,3092188.09730631
8,138,395,4742245.87434339,2914571.66018826
8,139,396,4736197.5115085,2992541.67419178
8,140,407,4492748.46810146,3007441.0365949
8,141,408,4489617.03275341,2994541.18994198
8,142,409,4679796.30941026,2881461.6421214
8,143,410,4885597.93164381,2892238.83408613
8,144,411,4603973.01931767,2947637.36346499
8,145,412,4754117.50780123,2931270.81378775
8,146,417,4569929.36025852,2973182.16208038
8,147,419,4540992.33461695,2915261.20322007
8,148,427,4804717.88855312,2899417.6163316
8,149,430,4510215.222997,3027568.07536034
8,150,435,4587712.58482148,2901090.92856513
8,151,437,4824493.41904956,2931769.81620456
8,152,440,4618531.22381539,2970043.00350652
8,153,442,4840861.97610955,3016672.88880466
8,154,443,4666240.62718856,3087839.53690354
8,155,447,4785717.54113434,2927238.76926953
8,156,448,4615873.01526702,3070494.89167285
8,157,450,4758189.96926333,3013729.22231318
8,158,451,4689311.45009654,2976096.64393435
8,159,454,4842445.9415521,2910138.71971275
8,160,456,4510201.27743109,2987573.99559592
8,161,458,4628589.80037419,2870800.42474807
8,162,461,4633894.57296594,2839820.03842577
8,163,463,4586332.75228815,2972098.55852631
8,164,465,4511444.81489935,3004857.88840369
8,165,468,4644720.5364846,2864342.69539589
8,166,475,4632607.7464239,2979874.62303105
8,167,476,4600742.72029202,2989049.31108353
8,168,479,4649316.40984011,3078888.19220399
8,169,481,4873738.54306945,2997935.3002586
8,170,482,4885568.90083481,2950818.24114217
8,171,486,4793840.94809567,2982592.52884493
8,172,488,4927397.80391759,2984690.68236574
8,173,491,4821926.10495305,2976639.52348671
8,174,495,4749676.75680213,3040921.81727051
8,175,498,4620456.04412033,2907125.06576221
8,176,504,4676867.97153435,3031754.69054509
8,177,505,4508112.57191569,2972098.05810018
8,178,506,4537300.45429171,3006279.10006991
8,179,507,4651685.26310143,2951058.14270603
8,180,514,4757949.08923774,2872170.53421985
8,181,518,4701065.76634875,3057663.54495077
8,182,522,4563180.12762118,2904999.03962607
8,183,526,4747435.76127732,2967192.06226776
8,184,528,4647690.80800151,3026061.40472868
8,185,532,4753594.30698189,2916190.63239051
8,186,533,4782916.54051405,2921931.32867251
8,187,540,4839280.7648584,2925958.03125734
8,188,542,4902446.01258168,2947497.28014825
8,189,548,4625343.20619744,3109925.45328485
8,190,549,4498339.94788431,2959081.43508959
8,191,550,4555026.81753128,3045740.36631675
8,192,552,4560840.34098409,2995213.74707659
8,193,556,4647133.26315039,2890915.49418872
8,194,563,4495723.19050522,2994953.95990555
8,195,564,4827337.63282453,3009572.4278773
8,196,567,4912193.53697862,2961917.912977
8,197,568,4548013.86144811,2963638.37753742
8,198,569,4653718.78070012,3067634.66513616
8,199,572,4659798.42472818,2878238.5315216
8,200,578,4480222.08110463,3008607.96637975
8,201,579,4767514.46790775,3006093.20244158
8,202,581,4691468.40888343,3056404.79816755
8,203,593,4501307.1491231,2990610.91428215
8,204,595,4873954.72263525,2973365.61025462
8,205,596,4644999.0597679,2982553.20085473
8,206,598,4708143.33108137,2966159.41904275
8,207,600,4649870.20038263,2961975.65763687
8,208,602,4515355.19022494,2993214.84104896
8,209,611,4908753.14085653,2941310.46101669
8,210,612,4779500.83632375,2974566.23310487
8,211,613,4935586.25831463,2978513.47819801
8,212,617,4569211.11544632,2892114.06524904
8,213,620,4500594.2526208,2983316.51016707
8,214,628,4743907.30108584,2910864.15503221
8,215,629,4530683.83264977,2948935.369546
8,216,630,4809633.2801508,2985995.14974144
8,217,631,4672314.41312523,2938532.81947965
8,218,633,4633734.12241475,2912777.48123376
8,219,636,4561684.13128644,3050464.71626198
8,220,639,4841348.30869341,2927394.39818612
8,221,640,4781916.58378532,2950719.10089513
8,222,641,4899096.40035261,2957380.72999655
8,223,642,4661741.09407434,2856261.8428525
8,224,643,4680508.55056117,2996076.41707616
8,225,644,4641159.76800168,3043487.86605001
8,226,646,4897655.6772357,2935496.81153495
8,227,648,4586957.61404078,3072041.19082762
8,228,650,4765094.02270486,2932143.11942611
8,229,652,4541830.53311486,2911258.36812303
8,230,658,4601470.24576073,2899103.16801252
8,231,659,4494617.76929445,3019865.28163727
8,232,661,4767014.96096853,2968894.95346946
8,233,662,4776351.10240159,3016359.61581652
8,234,663,4693891.83108125,2899658.34354891
8,235,668,4594225.26068106,2944089.18912398
